nucleus_id,type,area_px2,perimeter_px,eccentricity,circularity,centroid_x,centroid_y,image
1,3,89.5,39.55634880065918,0.7522477276545417,0.718787479903191,66.08193668528864,3.8733705772811913,00000
2,3,41.0,26.485281229019165,0.8078868267588787,0.7344877268345591,163.82926829268294,4.178861788617886,00000
3,3,68.5,31.899494647979736,0.6333088856815057,0.8459268882819202,201.13868613138686,5.0389294403892935,00000
4,3,119.0,41.79898941516876,0.5891300809920923,0.8559044053626167,38.121848739495796,7.163865546218488,00000
5,3,434.0,81.11269760131836,0.4116848079245761,0.8289377218492168,147.98809523809524,12.013824884792626,00000
6,3,105.5,41.21320307254791,0.6093907606868417,0.7805299741356305,230.03633491311214,11.139020537124802,00000
7,3,173.0,52.627416491508484,0.6508556475043228,0.7849316943232272,10.247591522157995,16.122350674373795,00000
8,3,279.5,80.5269113779068,0.8397213663067378,0.5416385818009964,129.20333929636254,11.406678592725104,00000
9,3,40.5,25.899494767189026,0.7691943665405754,0.7587213461776839,172.37037037037038,13.59670781893004,00000
10,3,85.5,40.041630029678345,0.7065025843155923,0.6701198483975496,23.647173489278753,21.598440545808966,00000
11,3,129.0,58.62741661071777,0.87991347538083,0.4716263475219623,48.03359173126615,20.319121447028422,00000
12,3,211.5,85.35533833503723,0.9609542991327537,0.3648033849486932,239.21907013396373,24.09692671394799,00000
13,3,137.0,51.455843687057495,0.6483212299055806,0.6502210488766805,14.257907542579074,27.77250608272506,00000
14,3,133.0,47.79898953437805,0.5292655655065057,0.7315164106999784,34.4110275689223,29.540100250626566,00000
15,3,113.0,42.62741661071777,0.7172195259122313,0.7814663473416467,212.98967551622417,32.051622418879056,00000
16,3,173.0,74.28427076339722,0.9084981931044651,0.3939691709232671,9.048169556840076,40.065510597302506,00000
17,3,141.5,51.21320295333862,0.8272855802361184,0.6779574345464203,35.13191990577149,43.340400471142516,00000
18,3,154.0,57.11269736289978,0.8264799358881548,0.5932875586059909,217.2564935064935,49.006493506493506,00000
19,3,267.0,94.08326029777527,0.9454496563888297,0.37904991876894717,118.47003745318352,55.39575530586767,00000
20,3,257.0,62.627416491508484,0.6281973419338058,0.8234059374008551,147.91699092088197,50.04928664072633,00000
21,3,568.5,109.49747383594513,0.670640339808026,0.5958434001678194,240.663441805922,50.77601876282615,00000
22,3,89.0,38.97056245803833,0.6648390222806473,0.7364216074896344,49.78651685393258,52.01123595505618,00000
23,3,137.0,62.627416372299194,0.8368305743369094,0.438936240674571,6.066909975669099,53.56934306569343,00000
24,3,173.5,64.04163014888763,0.881816211999932,0.5315995282351906,32.816522574447646,56.5821325648415,00000
25,3,206.0,63.9411244392395,0.88484485154067,0.6331644835925575,131.58818770226537,60.58252427184466,00000
26,3,165.5,53.21320307254791,0.7975731564458697,0.7344615410670399,204.90231621349443,63.275931520644505,00000
27,3,186.5,64.04163002967834,0.7973895875407965,0.5714311953023664,186.4486148346738,66.0455764075067,00000
28,3,200.5,56.870057225227356,0.7789670125196834,0.7790348935144316,152.50540315876972,67.60598503740648,00000
29,3,334.5,98.66904652118683,0.9002297620804612,0.4317617081257569,221.7528649725959,73.18236173393124,00000
30,3,100.5,39.55634891986847,0.6849107650468736,0.807130070333728,53.6849087893864,68.09452736318408,00000
31,3,210.0,62.97056245803833,0.8290968424400714,0.6655091237977826,5.127777777777777,75.53015873015872,00000
32,3,249.5,82.04163014888763,0.7583876783069732,0.4658132649318832,247.2184368737475,75.07281229124915,00000
33,3,186.0,65.59797894954681,0.8739742974589907,0.5431776477044616,164.93189964157705,73.09946236559139,00000
34,3,87.0,36.97056245803833,0.5851708682556703,0.7998655660678153,22.942528735632184,73.49042145593869,00000
35,3,88.0,40.627416491508484,0.8219273553664106,0.6699680984060596,134.08522727272728,73.74621212121211,00000
36,3,276.5,82.5269113779068,0.8605110206045249,0.5101687072646467,191.97347799879444,77.18565400843882,00000
37,1,35.0,27.313708305358887,0.8925443789224969,0.589544475728601,88.4047619047619,80.8095238095238,00000
38,3,92.5,42.38477599620819,0.8768527995229494,0.6470410171094488,36.79099099099099,84.24864864864865,00000
39,3,223.0,63.455843687057495,0.6658117199556174,0.6959394917392202,144.94020926756352,85.91554559043347,00000
40,3,117.5,46.041630268096924,0.8235693799331105,0.6965404540500514,124.07517730496453,86.0482269503546,00000
41,3,188.5,54.041630029678345,0.7237212217164968,0.811081206792217,206.38284703801943,86.12732095490716,00000
42,3,197.5,62.870057225227356,0.7011824967426107,0.6278982211323724,158.2396624472574,88.66329113924051,00000
43,3,113.5,48.38477599620819,0.7908957504418708,0.6092397847590987,171.92364170337737,91.90895741556534,00000
44,3,117.0,43.455843448638916,0.7273468911877149,0.778573035030128,24.641025641025642,94.86467236467236,00000
45,3,55.0,31.313708305358887,0.7711001778819156,0.7048611110449973,7.787878787878787,93.83030303030301,00000
46,4,63.5,38.041630148887634,0.9324311074017675,0.5513982094143866,39.17060367454068,96.4776902887139,00000
47,3,136.5,45.213202714920044,0.5834372885453142,0.8390966204489301,188.6349206349206,96.77411477411476,00000
48,3,113.0,40.97056245803833,0.40621332702149543,0.845949533426437,126.64159292035399,100.87610619469027,00000
49,3,200.0,57.455843687057495,0.7917138165686658,0.7613273771164497,143.5425,106.10166666666666,00000
50,3,340.0,87.11269772052765,0.8529382481213642,0.5630226344446231,172.06911764705882,107.05441176470588,00000
51,3,122.0,49.455843687057495,0.7802004775699576,0.6268079044533105,151.15573770491804,114.88661202185791,00000
52,3,99.5,39.21320283412933,0.7114938198713038,0.8131455940204445,59.095477386934675,121.10050251256281,00000
53,4,40.5,26.727921843528748,0.6342541613258086,0.7124173733912024,119.0082304526749,120.39506172839506,00000
54,3,246.5,68.87005710601807,0.8566342063227308,0.65307927422758,171.38471940500335,122.2075726842461,00000
55,4,77.5,45.21320307254791,0.8914210064600708,0.47641016158272753,30.68172043010752,121.87741935483871,00000
56,3,155.5,58.72792184352875,0.9344559529229071,0.5665666294901842,132.2400857449089,127.22079314040728,00000
57,4,104.5,57.69848430156708,0.9316234747267358,0.3944548906914276,32.81180223285486,129.3444976076555,00000
58,3,66.0,34.14213538169861,0.833322319331944,0.7114959615650317,18.391414141414142,134.5151515151515,00000
59,3,185.0,56.62741661071777,0.8446986816129877,0.7249834524162364,51.7063063063063,136.42972972972973,00000
60,3,131.0,49.79898953437805,0.886292432953951,0.6638043566438027,179.7798982188295,135.6946564885496,00000
61,3,73.5,36.38477575778961,0.8303491159508319,0.6976824487015878,75.12925170068027,137.86167800453512,00000
62,3,123.5,51.55634880065918,0.8448991649512303,0.583865098273068,3.670715249662618,142.33468286099864,00000
